time,p,T,Tve,rho
0.000926,41587.2,298.15,348.432,0.469954
0.000928,41574.3,298.15,348.432,0.469809
0.00093,41561.5,298.15,348.432,0.469664
0.000932,41548.7,298.15,348.432,0.46952
0.000934,41536,298.15,348.432,0.469376
0.000936,41523.3,298.15,348.432,0.469233
0.000938,41510.7,298.15,348.432,0.46909
0.00094,41498.1,298.15,348.432,0.468948
0.000942,41485.5,298.15,348.432,0.468806
0.000944,41473,298.15,348.432,0.468665
0.000946,41460.6,298.15,348.432,0.468524
0.000948,41448.2,298.15,348.432,0.468384
0.00095,41435.8,298.15,348.432,0.468244
0.000952,41423.5,298.15,348.432,0.468104
0.000954,41411.2,298.15,348.432,0.467965
0.000956,41398.9,298.15,348.432,0.467827
0.000958,41386.7,298.15,348.432,0.467689
0.00096,41374.5,298.15,348.432,0.467552
0.000962,41362.4,298.15,348.432,0.467414
0.000964,41350.3,298.15,348.432,0.467278
0.000966,41338.3,298.15,348.432,0.467142
0.000968,41326.2,298.15,348.432,0.467006
0.00097,41314.3,298.15,348.432,0.46687
0.000972,41302.3,298.15,348.432,0.466735
0.000974,41290.4,298.15,348.432,0.466601
0.000976,41278.5,298.15,348.432,0.466467
0.000978,41266.7,298.15,348.432,0.466333
0.00098,41254.9,298.15,348.432,0.4662
0.000982,41243.1,298.15,348.432,0.466067
0.000984,41231.4,298.15,348.432,0.465934
0.000986,41219.7,298.15,348.432,0.465802
0.000988,41208,298.15,348.432,0.46567
0.00099,41196.4,298.15,348.432,0.465539
0.000992,41184.8,298.15,348.432,0.465408
0.000994,41173.3,298.15,348.432,0.465277
0.000996,41161.7,298.15,348.432,0.465147
0.000998,41150.2,298.15,348.432,0.465017
0.001,41138.7,298.15,348.432,0.464887
0.001002,41127.3,298.15,348.432,0.464758
0.001004,41115.9,298.15,348.432,0.464629
0.001006,41104.5,298.15,348.432,0.4645
0.001008,41093.1,298.15,348.432,0.464372
0.00101,41081.8,298.15,348.432,0.464244
0.001012,41070.5,298.15,348.432,0.464116
0.001014,41059.2,298.15,348.432,0.463989
0.001016,41048,298.15,348.432,0.463862
0.001018,41036.8,298.15,348.432,0.463735
0.00102,41025.6,298.15,348.432,0.463608
0.001022,41014.4,298.15,348.432,0.463482
0.001024,41003.3,298.15,348.432,0.463356
0.001026,40992.2,298.15,348.432,0.463231
0.001028,40981.1,298.15,348.432,0.463105
0.00103,40970,298.15,348.432,0.46298
0.001032,40959,298.15,348.432,0.462855
0.001034,40947.9,298.15,348.432,0.462731
0.001036,40936.9,298.15,348.432,0.462606
0.001038,40926,298.15,348.432,0.462482
0.00104,40915,298.15,348.432,0.462359
0.001042,40904.1,298.15,348.432,0.462235
0.001044,40893.2,298.15,348.432,0.462112
0.001046,40882.3,298.15,348.432,0.461989
0.001048,40871.4,298.15,348.432,0.461866
0.00105,40860.5,298.15,348.432,0.461743
0.001052,40849.7,298.15,348.432,0.461621
0.001054,40838.9,298.15,348.432,0.461499
0.001056,40828.1,298.15,348.432,0.461377
0.001058,40817.3,298.15,348.432,0.461255
0.00106,40806.6,298.15,348.432,0.461133
0.001062,40795.8,298.15,348.432,0.461012
0.001064,40785.1,298.15,348.432,0.460891
0.001066,40774.4,298.15,348.432,0.46077
